Key,Id,Trial,Image,H1,H1Data,H2,H2Data,H3,H3Data
109,cPSybz9,18,0,B then (A or C),10,B and (A or C),5,(A and B) or (B then C),0
110,cPSybz9,13,0,A or (B and C),0,A or B,0,A,10
111,cPSybz9,1,0,A or B,0,A,10,A or C,0
112,cPSybz9,3,0,A and B,5,A then (B or C),5,A then B,10
113,cPSybz9,14,0,A and B,5,A then (B or C),5,A then B,10
114,cPSybz9,9,0,A or B or C,5,A or C or (C then B),0,A or C,10
115,DdxxjRM,6,0,A then B then C,10,(A and B) then C,0,A and B and C,0
116,DdxxjRM,14,0,A and B,0,A then B,10,A then (B or C),0
117,DdxxjRM,13,0,A or (B and C),0,A,10,A or B,0
118,DdxxjRM,9,0,A or C,10,A or C or (C then B),0,A or B or C,0
119,DdxxjRM,1,0,A or B,0,A,10,A or C,0
120,DdxxjRM,5,0,A and C,0,A then C,10,(A or B) then C,0
121,DdxxjRM,16,0,A and C,0,A then C,10,(A or B) then C,0
122,DdxxjRM,7,0,A then C then B,0,B and (A then C),10,(A and C) then B,0
123,DdxxjRM,12,0,A and C,10,C and (A or B),0,A and (B or C),0
124,DdxxjRM,18,0,B and (A or C),9,B then (A or C),0,(A and B) or (B then C),0
125,DdxxjRM,17,0,A and (B or C),9,(A then C) or (B then A),0,(A and C) or (B then A),0
126,DdxxjRM,15,0,(B or C) then A,0,B then A,10,A and B,0
127,DdxxjRM,4,0,B then A,10,(B or C) then A,0,A and B,0
128,DdxxjRM,3,0,A then B,10,A and B,0,A then (B or C),0
129,DdxxjRM,19,0,C and (A or B),10,(A or B) then C,0,(A and C) or (B then C),0
130,DdxxjRM,10,0,B and (A or C),7,(A and B) or (C then B),0,(A or C) then B,0
131,DdxxjRM,8,0,B then (A and C),0,C and (B then A),0,B then A then C,10
132,DdxxjRM,11,0,(A and C) or (B then A),6,(B or C) then A,0,A and (B or C),0
133,DdxxjRM,2,0,B or (B and C),0,B,10,B or (A and B),0
134,XMRV7CB,16,0,A and C,3,A then C,9,(A or B) then C,2
135,XMRV7CB,19,0,(A or B) then C,5,C and (A or B),3,(A and C) or (B then C),4
136,XMRV7CB,14,0,A and B,3,A then (B or C),3,A then B,8
137,XMRV7CB,10,0,B and (A or C),3,(A and B) or (C then B),5,(A or C) then B,7
138,XMRV7CB,12,0,C and (A or B),2,A and (B or C),2,A and C,8
139,XMRV7CB,3,0,A and B,5,A then B,5,A then (B or C),2
140,XMRV7CB,7,0,(A and C) then B,3,A then C then B,7,B and (A then C),2
141,XMRV7CB,1,0,A,8,A or B,5,A or C,5
142,XMRV7CB,4,0,(B or C) then A,3,B then A,5,A and B,5
143,XMRV7CB,17,0,A and (B or C),3,(A and C) or (B then A),3,(A then C) or (B then A),4
144,XMRV7CB,11,0,A and (B or C),4,(A and C) or (B then A),4,(B or C) then A,4
145,XMRV7CB,2,0,B or (A and B),4,B,5,B or (B and C),4
146,XMRV7CB,18,0,B and (A or C),5,(A and B) or (B then C),5,B then (A or C),5
147,XMRV7CB,6,0,(A and B) then C,5,A and B and C,4,A then B then C,5
148,XMRV7CB,8,0,B then A then C,5,C and (B then A),4,B then (A and C),4
149,XMRV7CB,9,0,A or B or C,2,A or C,5,A or C or (C then B),2
150,XMRV7CB,15,0,B then A,8,(B or C) then A,4,A and B,5
151,XMRV7CB,13,0,A,8,A or (B and C),2,A or B,3
152,XMRV7CB,5,0,A and C,4,A then C,6,(A or B) then C,4
153,AQWMPlj,10,0,(A and B) or (C then B),2,B and (A or C),2,(A or C) then B,10
154,AQWMPlj,17,0,(A and C) or (B then A),2,A and (B or C),2,(A then C) or (B then A),10
155,AQWMPlj,13,0,A or (B and C),0,A or B,5,A,8
156,AQWMPlj,3,0,A then B,8,A and B,3,A then (B or C),3
157,AQWMPlj,1,0,A or B,5,A,8,A or C,5
158,AQWMPlj,6,0,A and B and C,5,(A and B) then C,1,A then B then C,8
159,AQWMPlj,19,0,C and (A or B),3,(A or B) then C,3,(A and C) or (B then C),8
160,AQWMPlj,9,0,A or C or (C then B),3,A or C,7,A or B or C,5
161,AQWMPlj,5,0,A and C,6,(A or B) then C,3,A then C,8
162,AQWMPlj,16,0,(A or B) then C,5,A and C,5,A then C,8
163,AQWMPlj,12,0,A and (B or C),5,A and C,5,C and (A or B),7
164,AQWMPlj,4,0,(B or C) then A,4,A and B,4,B then A,7
165,AQWMPlj,11,0,(A and C) or (B then A),6,(B or C) then A,5,A and (B or C),7
166,AQWMPlj,7,0,(A and C) then B,5,B and (A then C),6,A then C then B,7
167,AQWMPlj,14,0,A then (B or C),5,A then B,8,A and B,6
168,AQWMPlj,2,0,B or (B and C),5,B or (A and B),7,B,8
169,AQWMPlj,8,0,B then A then C,5,C and (B then A),7,B then (A and C),8
170,AQWMPlj,15,0,B then A,6,(B or C) then A,5,A and B,5
